,id,title,authorids,authors,abstract,pdf,Previous URL,Previous PDF,Response PDF,preprint,consent,paperhash,TL;DR,existing_preprints,software,data
10,ma2eK0he7JT,QAConv: Question Answering on Informative Conversations,['aclweb.org/ACL/ARR/2021/August/Paper17/Authors'],['Anonymous'],"This paper introduces QAConv, a new question answering (QA) dataset that uses conversations as a knowledge source. We focus on informative conversations, including business emails, panel discussions, and work channels. Unlike open-domain and task-oriented dialogues, these conversations are usually long, complex, asynchronous, and involve strong domain knowledge. In total, we collect 34,608 QA pairs, including span-based and unanswerable questions, from 10,259 selected conversations with both human-written and machine-generated questions. We use a question generator and a dialogue summarizer as auxiliary tools to collect multi-hop questions. The dataset has two testing scenarios, chunk mode and full mode, depending on whether the grounded partial conversation is provided or retrieved. Experimental results show that state-of-the-art pretrained QA systems have limited zero-shot performance and tend to predict our questions as unanswerable. Our dataset provides a new training and evaluation testbed to facilitate QA on conversations research.",/pdf/2b186f89265bfd77c09234a1ca7a426e99da6f35.pdf,,,,,,anonymous|qaconv_question_answering_on_informative_conversations,,,/attachment/dc71fa21a4c78111c623c0825e61deb1b1a8ab5c.zip,/attachment/e590d06087eddf9b89f154c98803c18dc56aa8c3.zip
11,n3MFoq1WOXU,An Empirical Survey of Data Augmentation \\for Limited Data Learning in NLP,['aclweb.org/ACL/ARR/2021/August/Paper6/Authors'],['Anonymous'],"
NLP has achieved great progress in the past decade through the use of neural models and large labeled datasets. The dependence on abundant data prevents NLP models from being applied to low-resource settings or novel tasks where significant time, money, or expertise is required to label massive amounts of textual data. Recently, data augmentation methods have been explored as a means of improving data efficiency in NLP. To date, there has been no systematic empirical overview of data augmentation for NLP in the limited labeled data setting, making it difficult to understand which methods work in which settings. In this paper, we provide an empirical survey of recent progress on data augmentation for NLP in the limited labeled data setting, summarizing the landscape of methods (including token-level augmentations, sentence-level augmentations, adversarial augmentations, and hidden-space augmentations) and carrying out experiments on 11 datasets covering topics/news classification, inference tasks, paraphrasing tasks, and single-sentence tasks. Based on the results, we draw several conclusions to help practitioners choose appropriate augmentations in different settings and discuss the current challenges and future directions for limited data learning in NLP.",/pdf/00da17bb96a21b47fe41d00e481ab21cc5d545ad.pdf,,/attachment/82ef8dd11b71bba9626575994ce8707dba119307.pdf,/attachment/c314438738b9002657eb770b6c16cbf6ae31a8b2.pdf,,,anonymous|an_empirical_survey_of_data_augmentation_\\for_limited_data_learning_in_nlp,,,,
12,9ACh_V2Gbop,Semantics-aware Attention Improves Neural Machine Translation,['aclweb.org/ACL/ARR/2021/August/Paper29/Authors'],['Anonymous'],"The integration of syntactic structure into Transformer machine translation has shown positive results, but to our knowledge, no work has attempted to do so with semantic structures. In this work we propose two novel parameter-free methods for injecting semantic information into Transformers, both rely on semantics-aware masking of (some of) the attention heads. One such method operates on the encoder, through a Scene-Aware Self-Attention (SASA) head. Another on the decoder, through a Scene-Aware Cross-Attention (SACrA) head. We show a consistent improvement over the vanilla Transformer and syntax-aware models for four language pairs.
We further show an additional gain when using both semantic and syntactic structures in some language pairs.",/pdf/e200297909e245040018b43e0d2b1356b99225c4.pdf,,,,,,anonymous|semanticsaware_attention_improves_neural_machine_translation,,,,
13,_giVW90_UAV,BERT Learns to Teach: Knowledge Distillation with Meta Learning,['aclweb.org/ACL/ARR/2021/August/Paper1/Authors'],['Anonymous'],"We present Knowledge Distillation with Meta Learning (MetaDistil), a simple yet effective alternative to traditional knowledge distillation (KD) methods where the teacher model is fixed during training. We show the teacher network can learn to better transfer knowledge to the student network (i.e., learning to teach) with the feedback from the performance of the distilled student network in a meta learning framework. Moreover, we introduce a pilot update mechanism to improve the alignment between the inner-learner and meta-learner in meta learning algorithms that focus on an improved inner-learner. Experiments on various benchmarks show that MetaDistil can yield significant improvements compared with traditional KD algorithms and is less sensitive to the choice of different student capacity and hyperparameters, facilitating the use of KD on different tasks and models.",/pdf/9e75faa867d5fc29b6e8c7a59284f58bbed757e5.pdf,,,,,,anonymous|bert_learns_to_teach_knowledge_distillation_with_meta_learning,,,,
14,-mQP6w_FGZJ,On the Diversity and Limits of Human Explanations,['aclweb.org/ACL/ARR/2021/August/Paper10/Authors'],['Anonymous'],"A growing effort in NLP aims to build datasets of human explanations. However, the term explanation encompasses a broad range of notions, each with different properties and ramifications. Our goal is to provide an overview of diverse types of explanations and human limitations, and discuss implications for collecting and using explanations in NLP. Inspired by prior work in psychology and cognitive sciences, we group existing human explanations in NLP into three categories: proximal mechanism, evidence, and procedure. These three types differ in nature and have implications for the resultant explanations. For instance, procedure is not considered explanations in psychology and connects with a rich body of work on learning from instructions. The diversity of explanations is further evidenced by proxy questions that are needed for annotators to interpret and answer open-ended why questions. Finally, explanations may require different, often deeper, understandings than predictions, which casts doubt on whether humans can provide useful explanations in some tasks.",/pdf/c94ac3190c5067463f29a512bf560e2376e693db.pdf,,,,,,anonymous|on_the_diversity_and_limits_of_human_explanations,,,,
15,D8DJN2-Zmkf,Automatic Multi-Label Prompting: Simple and Interpretable Few-Shot Classification,['aclweb.org/ACL/ARR/2021/August/Paper27/Authors'],['Anonymous'],"Prompt-based learning (i.e., prompting) is an emerging paradigm for exploiting knowledge learned by a pretrained language model. In this paper, we propose Automatic Multi-Label Prompting (AMuLaP), a simple yet effective method to automatically select label mappings for few-shot text classification with prompting. Our method exploits one-to-many label mappings and a statistics-based algorithm to select label mappings given a prompt template. Our experiments demonstrate that AMuLaP achieves competitive performance on the GLUE benchmark without human effort or external resources.",/pdf/331bd4fba2ed0bf73af809aee23ee87627520591.pdf,,,,,,anonymous|automatic_multilabel_prompting_simple_and_interpretable_fewshot_classification,,,,
16,OUPw2V0lX4_,CTRLsum: Towards Generic Controllable Text Summarization,['aclweb.org/ACL/ARR/2021/August/Paper43/Authors'],['Anonymous'],"Current summarization systems yield generic summaries that are disconnected from users' preferences and expectations. To address this limitation, we present CTRLsum, a generic framework to control generated summaries through a set of keywords. During training keywords are extracted automatically without requiring additional human annotations. At test time CTRLsum features a control function to map control signal to keywords; through engineering the control function, the same trained model is able to be applied to control summaries on various dimensions, while neither affecting the model training process nor the pretrained models.  We additionally explore the combination of keywords and text prompts for more control tasks. Experiments demonstrate the effectiveness of CTRLsum on three domains of summarization datasets and five control tasks: (1) entity-centric and (2) length-controllable summarization, (3) contribution summarization on scientific papers, (4) invention purpose summarization on patent filings, and (5) question-guided summarization on news articles. Moreover, when used in a standard, unconstrained summarization setting, CTRLsum is comparable or better than the state-of-the-art systems.",/pdf/ded0b5d7a7a2fe1406061a90fb23247bd9f2893f.pdf,,,,,,anonymous|ctrlsum_towards_generic_controllable_text_summarization,,,/attachment/3242700054e38a44d0a12b1fab163dfe2b006589.zip,
17,eum8bkxrL_Z,A Latent-Variable Model for Intrinsic Probing,['aclweb.org/ACL/ARR/2021/August/Paper28/Authors'],['Anonymous'],"The success of pre-trained contextualized representations has prompted researchers to analyze them for the presence of linguistic information. Indeed, it is natural to assume that these pre-trained representations do encode some level of linguistic knowledge as they have brought about large empirical improvements on a wide variety of NLP tasks, which suggests they are learning true linguistic generalization.
In this work, we focus on intrinsic probing, an analysis technique where the goal is not only to identify whether a representation encodes a linguistic attribute, but also to pinpoint where this attribute is encoded. We propose a novel latent-variable formulation for constructing intrinsic probes and derive a tractable variational approximation to the log-likelihood. Our results show that our model is versatile and outperforms two intrinsic probes previously proposed in the literature. Finally, we find empirical evidence that pre-trained representations develop a cross-lingually entangled notion of  morphosyntax.",/pdf/5a62be84d7514d728dde0c7b81b9dc54592e022c.pdf,,,,,,anonymous|a_latentvariable_model_for_intrinsic_probing,,,,
18,DAiDafTZE7T,An Investigation of the (In)effectiveness of Counterfactually Augmented Data,['aclweb.org/ACL/ARR/2021/August/Paper30/Authors'],['Anonymous'],"While pretrained language models achieve excellent performance on natural language understanding benchmarks, they tend to rely on spurious correlations and generalize poorly to out-of-distribution (OOD) data. Recent work has explored using counterfactually-augmented data (CAD)---data generated by minimally perturbing examples to flip the ground-truth label---to identify robust features that are invariant under distribution shift. However, empirical results using CAD for OOD generalization have been mixed. To explain this discrepancy, we draw insights from a  linear Gaussian model and demonstrate the  pitfalls of CAD. Specifically, we show that (a) while CAD is effective at identifying robust features, it may prevent the model from learning unperturbed robust features; and (b) CAD may exacerbate existing spurious correlations in the data. On two crowdsourced CAD datasets, our results  show that the lack of perturbation diversity limits their effectiveness on OOD generalization, calling for innovative crowdsourcing procedures to elicit diverse perturbation of examples.",/pdf/e5cdb8e51ea9d905da5d12e52d54db63450f07ab.pdf,,,,,,anonymous|an_investigation_of_the_ineffectiveness_of_counterfactually_augmented_data,,,/attachment/29a50dadc7fa018d6ab3c3cb75f204997ca83b10.zip,
19,AiZ4qG1SFy_,,,,,,,,,,,,,,,
