,title,authorids,authors,TL;DR,abstract,pdf,software,preprint,consent,paperhash,existing_preprints,reviewer/Editor_reassignment_request,reviewer/Editor_reassignment_justification,previous_URL,previous_PDF,response_PDF,data
eqRNs_CGR50,Hierarchical Recurrent Aggregative Generation for Few-Shot NLG,['aclweb.org/ACL/ARR/2021/September/Paper307/Authors'],['Anonymous'],,"Large pretrained models enable transfer learning to low-resource domains for language generation tasks. However, previous end-to-end approaches do not account for the fact that some generation sub-tasks, specifically aggregation and lexicalisation, can benefit from transfer learning in different extents. To exploit these varying potentials for transfer learning, we propose a new hierarchical approach for few-shot and zero-shot generation. Our approach consists of a three-moduled jointly trained architecture: the first module independently lexicalises the distinct units of information in the input as sentence sub-units (e.g. phrases), the second module recurrently aggregates these sub-units to generate a unified intermediate output, while the third module subsequently post-edits it to generate a coherent and fluent final text. We perform extensive empirical analysis and ablation studies on few-shot and zero-shot settings across 4 datasets. Automatic and human evaluation shows that the proposed hierarchical approach is consistently capable of achieving state-of-the-art results when compared to previous work.
",/pdf/7ad47465c8674e02cd04e1e6917d4ad4b8ecac3e.pdf,,,,anonymous|hierarchical_recurrent_aggregative_generation_for_fewshot_nlg,,,,,,,
Dgx157I8729,SeaD: End-to-end Text-to-SQL Generation with Schema-aware Denoising,['aclweb.org/ACL/ARR/2021/September/Paper185/Authors'],['Anonymous'],,"On the WikiSQL benchmark, most methods tackle the challenge of text-to-SQL with predefined sketch slots and build sophisticated sub-tasks to fill these slots. Though achieving promising results, these methods suffer from over-complex model structure. In this paper, we present a simple yet effective approach that enables auto-regressive sequence-to-sequence model to robust text-to-SQL generation. Instead of formulating the task of text-to-SQL as slot-filling, we propose to train sequence-to-sequence model with Schema-aware Denoising (SeaD), which consists of two denoising objectives that train model to either recover input or predict output from two novel erosion and shuffle noises. These model-agnostic denoising objectives act as the auxiliary tasks for structural data modeling during sequence-to-sequence generation. In addition, we propose a clause-sensitive execution guided (EG) decoding strategy to overcome the limitation of EG decoding for generative model. The experiments show that the proposed method improves the performance of sequence-to-sequence model in both schema linking and grammar correctness and establishes new state-of-the-art on WikiSQL benchmark. Our work indicates that the capacity of sequence-to-sequence model for text-to-SQL may have been under-estimated and could be enhanced by specialized denoising task.",/pdf/78bf68f6eeb5cec31af857a9f2bdd1aff154be1a.pdf,,,,anonymous|sead_endtoend_texttosql_generation_with_schemaaware_denoising,,,,,,,
qmpCC1qsJF_,Knowledgeable Prompt-tuning: Incorporating Knowledge into Prompt Verbalizer for Text Classification,['aclweb.org/ACL/ARR/2021/September/Paper67/Authors'],['Anonymous'],,"Tuning pre-trained language models (PLMs) with task-specific prompts has been a promising approach for text classification. Particularly, previous studies suggest that prompt-tuning has remarkable superiority in the low-data scenario over the generic fine-tuning methods with extra classifiers. The core idea of prompt-tuning is to insert text pieces, i.e., template, to the input and transform a classification problem into a masked language modeling problem, where a crucial step is to construct a projection, i.e., verbalizer, between a label space and a label word space. A verbalizer is usually handcrafted or searched by gradient descent, which may lack coverage and bring considerable bias and high variances to the results. In this work, we focus on incorporating external knowledge into the verbalizer, forming a knowledgeable prompt-tuning (KPT), to improve and stabilize prompt-tuning. Specifically, we expand the label word space of the verbalizer using external knowledge bases (KBs) and refine the expanded label word space with the PLM itself before predicting with the expanded label word space. Extensive experiments on zero and few-shot text classification tasks demonstrate the effectiveness of knowledgeable prompt-tuning.",/pdf/c7b85b6c1a9b94a5546c0dd296873d0981083572.pdf,,,,anonymous|knowledgeable_prompttuning_incorporating_knowledge_into_prompt_verbalizer_for_text_classification,,,,,,,
6HUkK1levbi,Headed-Span-Based Projective Dependency Parsing,['aclweb.org/ACL/ARR/2021/September/Paper230/Authors'],['Anonymous'],," We propose a new paradigm for projective dependency parsing based on headed spans. 
In a projective dependency tree, the subtree rooted at each word covers a contiguous sequence (i.e., a span) in the surface order. We call a span marked with a root word headed span. A projective dependency tree can be represented as a collection of headed spans. We decompose the score of a dependency tree into the scores of the headed spans and design a novel $O(n^3)$ dynamic programming algorithm to enable global training and exact inference. The advantages of our headed-span-based dependency parsing include that it captures subtree information more adequately than first-order graph-based methods and performs global optimization in decoding (in contrast to transition-based methods).  We evaluate our method on PTB, CTB, and UD and it achieves competitive results in comparison with previous methods.
",/pdf/b15c2ca9af285a46c255a49a4ee34d5999e388cc.pdf,,,,anonymous|headedspanbased_projective_dependency_parsing,,,,,,,
cEA-p49sP8x,The Past Mistake is the Future Wisdom: Error-driven Contrastive Probability Optimization for Chinese Spell Checking,['aclweb.org/ACL/ARR/2021/September/Paper90/Authors'],['Anonymous'],,"Chinese Spell Checking (CSC) aims to detect and correct Chinese spelling errors, which are mainly caused by phonologically or visually similarity. Recently, due to the development of various pre-trained language models (PLMs), many CSC methods have achieved great progress. However, PLMs will pay more attention to common characters because of the pre-training settings. Therefore, there exists a gap between the learned knowledge of PLMs and the essential of CSC task. To address this issue, we propose an Error-driven COntrastive Probability Optimization (ECOPO) framework to refine the knowledge representation of PLMs for CSC. Particularly, ECOPO guides the model to avoid predicting common but improper characters through an error-driven way. Besides, ECOPO is model-agnostic so that it can be easily combined with existing CSC methods to achieve better performance. Extensive experiments and detailed analysis on three standard benchmarks demonstrate that ECOPO is simple yet effective.",/pdf/b1788924d91a7a917553541c8283ecbb36cd12f6.pdf,/attachment/1ffeef4a6874bfd059965002374c4bcb560d2fff.zip,,,anonymous|the_past_mistake_is_the_future_wisdom_errordriven_contrastive_probability_optimization_for_chinese_spell_checking,,,,,,,/attachment/c075c77ae7e45b3c60a673121290284ebf542dfd.zip
cqlqdyDfypP,Synthetic Data Generation and Joint Learning for Robust Code-Mixed Translation,['aclweb.org/ACL/ARR/2021/September/Paper276/Authors'],['Anonymous'],,"The widespread online communication in a modern multilingual world has provided opportunities to blend more than one language (aka. code-mixed language) in a single utterance. This has resulted a formidable challenge for the computational models due to the scarcity of annotated data and presence of noise. A potential solution to mitigate the data scarcity problem in low-resource setup is to leverage existing data in resource-rich language through translation. In this paper, we tackle the problem of code-mixed (Hinglish and Bengalish) to English machine translation. First, we synthetically develop HINMIX, a parallel corpus of Hinglish to English,  with ~5M sentence pairs. Subsequently, we propose JAMT, a robust perturbation based joint-training model that learns to handle noise in the real-world code-mixed text by parameter sharing across clean and noisy words. Further, we show the adaptability of JAMT in a zero-shot setup for Bengalish to English translation. Our evaluation and comprehensive analyses qualitatively and quantitatively demonstrate the superiority of JAMT over state-of-the-art code-mixed and robust translation methods.",/pdf/948810e0951a8ada5361a975763e6af7174e3028.pdf,/attachment/459b1c597d0ffe0935b42808950bbc8810c50aeb.zip,,,anonymous|synthetic_data_generation_and_joint_learning_for_robust_codemixed_translation,,,,,/attachment/e37c090411fb2e1e5cf15058d378b6e6bba2f245.pdf,/attachment/285cf6af968dd0010c8ebaad074634b80eaa9412.pdf,
4mMBs-hCrKx,Combining (Second-Order) Graph-Based and Headed-Span-Based Projective Dependency Parsing,['aclweb.org/ACL/ARR/2021/September/Paper226/Authors'],['Anonymous'],,"Graph-based methods are popular in dependency parsing for decades, which decompose the score of a dependency tree into scores of dependency arcs. Recently, (Yang and Tu, 2021) propose a headed-span-based method that decomposes the score of a dependency tree into scores of headed spans. In this paper, we combine the two types of methods by considering both arc scores and headed-span scores, designing three scoring methods and the corresponding dynamic programming algorithms for joint inference. Experiments show the effectiveness of our proposed methods.
",/pdf/d6cdcc1d692e41e664d40e6bcd294569977fc36f.pdf,,,,anonymous|combining_secondorder_graphbased_and_headedspanbased_projective_dependency_parsing,,,,,,,
kLXFm320Xit,Hansel: A Chinese Few-Shot and Zero-Shot Entity Linking Benchmark,['aclweb.org/ACL/ARR/2021/September/Paper274/Authors'],['Anonymous'],,"Modern Entity Linking (EL) systems entrench a popularity bias. However, there is no dataset focusing on tail and emerging entities in languages other than English. We present Hansel, a new benchmark in Chinese that fills the vacancy of non-English few-shot and zero-shot EL challenges. Hansel is human annotated and reviewed, with a novel method for collecting zero-shot EL datasets. It is a diverse dataset covering 8.2K documents in news, social media posts and other web articles, with Wikidata as its target Knowledge Base. We demonstrate that existing state-of-the-art EL system performs poorly on Hansel (R@1 of 35.8% on Few-Shot). We then establish a strong baseline that scores a R@1 of 43.2% on Few-Shot and 76.6% on Zero-Shot on our dataset. We also show that our baseline achieves competitive results on TAC-KBP2015 Chinese Entity Linking task.",/pdf/8aec3cf449ba9b417a4398f67cba8cc70ee188a0.pdf,,,,anonymous|hansel_a_chinese_fewshot_and_zeroshot_entity_linking_benchmark,,,,,,,/attachment/d812333421394b21c0b1e794fe8adeafcd5c69aa.zip
owR_gqXt47k,,,,,,,,,,,,,,,,,
eRRLIv7DrOX,Improving Generalizability in Implicitly Abusive Language Detection with Concept Activation Vectors,['aclweb.org/ACL/ARR/2021/September/Paper158/Authors'],['Anonymous'],,"Robustness of machine learning models on ever-changing real-world data is critical, especially for applications affecting human well-being such as content moderation.  New kinds of abusive language continually emerge in online discussions in response to current events (e.g., COVID-19), and the deployed abuse detection systems should be updated regularly to remain accurate. General abusive language classifiers tend to be fairly reliable in detecting out-of-domain explicitly abusive utterances but often fail to detect new types of more subtle, implicit abuse. We propose an interpretability technique, based on the Testing Concept Activation Vector (TCAV) method from computer vision, to quantify the sensitivity of a trained model to the human-defined concepts of explicit and implicit abusive language, and use that to explain the generalizability of the model on new data, in this case, COVID-related anti-Asian hate speech. Extending this technique, we introduce a novel metric, Degree of Explicitness, for a single instance and show that the new metric is beneficial in suggesting out-of-domain unlabeled examples to effectively enrich the training data with informative, implicitly abusive texts. ",/pdf/e88e2c41f320d9ae321d62e5c5b81f9352e16ff0.pdf,/attachment/5da1f236a6bd1441bd53df81e8a52c992491d883.zip,,,anonymous|improving_generalizability_in_implicitly_abusive_language_detection_with_concept_activation_vectors,,,,,,,/attachment/39b342a19c4fb6141f2cd86587647df68892a1ea.zip
Yw1AfyQrmUp,Digging Errors in NMT: Evaluating and Understanding Model Errors from Hypothesis Distribution,['aclweb.org/ACL/ARR/2021/September/Paper184/Authors'],['Anonymous'],,"Sound evaluation of a neural machine translation (NMT) model is key to its understanding and improvement. Current evaluation of an NMT system is usually built upon a heuristic decoding algorithm (e.g., beam search) and an evaluation metric assessing similarity between the translation and golden reference (e.g., BLEU). However, this system-level evaluation framework is prone to its evaluation over only one best hypothesis and search errors brought by heuristic decoding algorithms. To better understand NMT models, we propose a novel evaluation protocol, which defines model errors with hypothesis distribution. In particular, we first propose an exact top-$k$ decoding algorithm, which finds top-ranked hypotheses in the whole hypothesis space and avoids search errors. Then, we evaluate NMT model errors with the distance between hypothesis distribution with the ideal distribution, aiming for a comprehensive interpretation. We apply our evaluation on various NMT benchmarks and model architectures to provide an in-depth understanding of how NMT models work. We show that the state-of-the-art Transformer models are facing serious ranking errors and do not even outperform the random chance level. We further provide several interesting findings over data-augmentation techniques, dropouts, and deep/wide models. 
Additionally, we analyze beam search's lucky biases and regularization terms. Interestingly, we find these lucky biases decrease when increasing model capacity. ",/pdf/e802e5867c0e130f1400ff0152d24f6e005a6f12.pdf,,,,anonymous|digging_errors_in_nmt_evaluating_and_understanding_model_errors_from_hypothesis_distribution,,,,,,,
lJrJAPEZ4M0,,,,,,,,,,,,,,,,,
fImoryxnH0Z,GradMask: Gradient-Guided Token Masking for Textual Adversarial Example Detection,['aclweb.org/ACL/ARR/2021/September/Paper218/Authors'],['Anonymous'],,"We present a simple model-agnostic textual adversarial example detection scheme called GradMask. It uses gradient signals to detect adversarially perturbed tokens in an input sequence and occludes such tokens by a masking process. GradGask provides several advantages over existing methods including lower computational cost, improved detection performance, and a weak interpretation of its decision. Extensive evaluations on widely adopted natural language processing benchmark datasets demonstrate the efficiency and effectiveness of Gradmask.
",/pdf/b9008034054bd35df4c735612d379f95914ffb22.pdf,/attachment/6b206ad4163d10d11d2e4d73c3fb9b5d11e349b9.zip,,,anonymous|gradmask_gradientguided_token_masking_for_textual_adversarial_example_detection,,,,,,,
oIfSEEw8Xfu,DiS-ReX: A Multilingual Dataset for Distantly Supervised Relation Extraction,['aclweb.org/ACL/ARR/2021/September/Paper146/Authors'],['Anonymous'],,"Our goal is to study the novel task of distant supervision for multilingual relation extraction (Multi DS-RE). Research in Multi DS-RE has remained limited due to the absence of a reliable benchmarking dataset. The only available dataset for this task, RELX-Distant  (Köksal and Özgür, 2020), displays several unrealistic characteristics, leading to a systematic overestimation of model performance. To alleviate these concerns, we release a new benchmark dataset for the task, named DiS-ReX. We also modify the widely-used bag attention models using an mBERT encoder and provide the first baseline results on the proposed task. We show that DiS-ReX serves as a more challenging dataset than RELX-Distant, leaving ample room for future research in this domain.",/pdf/a3c1676a9d2cf80f6176a6fd0d4acdae2e996500.pdf,/attachment/32cd9fc6d36928c65fa7c072ac510d6c01e9795c.zip,,,anonymous|disrex_a_multilingual_dataset_for_distantly_supervised_relation_extraction,,,,,,,/attachment/28123885e8e2e10ccdf38705fa567016ee2c73a9.zip
uOklQslIXe8,Measuring Fairness of Text Classifiers via Prediction Sensitivity,['aclweb.org/ACL/ARR/2021/September/Paper205/Authors'],['Anonymous'],,"With the rapid growth in language processing applications, fairness has emerged as an important consideration in data-driven solutions.  Although various fairness definitions have been explored in the recent literature, there is lack of consensus on which metrics most accurately reflect the fairness of a system. 
       In this work, we propose a new formulation -- accumulated prediction sensitivity, which measures fairness in machine learning models based on the model's prediction sensitivity to perturbations in input features. The metric attempts to quantify the extent to which a single prediction depends on a protected attribute, where the protected attribute encodes the membership status of an individual in a protected group.  
       We show that the metric can be theoretically linked with a specific notion of group fairness (statistical parity) and individual fairness. It also correlates well with humans' perception of fairness. We conduct experiments on two text classification datasets -- Jigsaw Toxicity, and Bias in Bios, and evaluate the correlations between metrics and manual annotations on whether the model produced a fair outcome. We observe that the proposed fairness metric based on prediction sensitivity is statistically significantly more correlated with human annotation than the existing counterfactual fairness metric.",/pdf/7f8dada6d07e4c858dbc2469c25080bf441c7c08.pdf,,,,anonymous|measuring_fairness_of_text_classifiers_via_prediction_sensitivity,,,,,,,
F3lYBj1dpXX,Defending Textual Neural Networks against Black-Box Adversarial Attacks with Stochastic Multi-Expert Patcher,['aclweb.org/ACL/ARR/2021/September/Paper68/Authors'],['Anonymous'],,"Even though several methods have proposed to defend textual neural network (NN) models against black-box adversarial attacks, they often defend against a specific text perturbation strategy and/or require re-training the models from scratch. This leads to a lack of generalization in practice and redundant computation. In particular, the state-of-the-art transformer models (e.g., BERT, RoBERTa) require great time and computation resources. By borrowing an idea from software engineering, in order to address these limitations, we propose a novel algorithm, SHIELD, which modifies and re-trains only the last layer of a textual NN, and thus it ""patches"" and ""transforms"" the NN into a stochastic weighted ensemble of multi-expert prediction heads. Considering that most of current black-box attacks rely on iterative search mechanisms to optimize their adversarial perturbations, SHIELD confuses the attackers by automatically utilizing different weighted ensembles of predictors depending on the input. In other words, SHIELD breaks a fundamental assumption of the attack, which is a victim NN model remains constant during an attack. By conducting comprehensive experiments, we demonstrate that all of CNN, RNN, BERT, and RoBERTa-based textual NNs, once patched by SHIELD, exhibit a relative enhancement of 15%--70% in accuracy on average against 14 different black-box attacks, outperforming 6 defensive baselines across 3 public datasets. All codes are to be released. ",/pdf/8466740d137273f0541619528dc166d378c07b4f.pdf,,,,anonymous|defending_textual_neural_networks_against_blackbox_adversarial_attacks_with_stochastic_multiexpert_patcher,,,,,,,
0I_MQWeF5pE,Does BERT really agree ? Fine-grained Analysis of Lexical Dependence on a Syntactic Task,['aclweb.org/ACL/ARR/2021/September/Paper166/Authors'],['Anonymous'],,"Although transformer-based Neural Language Models obtain impressive results on a wide variety of tasks, their generalization abilities are not well understood. They have been shown to perform strongly on subject-verb number agreement in a wide array of settings, suggesting that they learned to capture syntactic dependencies during their training even without explicit supervision. In this paper, we examine the extent to which BERT relies on lexical content to solve the number agreement (NA) task. To do so, we disrupt the lexical patterns found in naturally occurring stimuli in a novel fine-grained analysis of BERT's behavior. Our results on nonce sentences suggest that the model generalizes well for simple structures, but fails to perform lexically-independent syntactic generalization when as little as one attractor is present.",/pdf/bd02ddb8fcb0d5d7dfc0fb4289a42c509f3979fe.pdf,,,,anonymous|does_bert_really_agree_finegrained_analysis_of_lexical_dependence_on_a_syntactic_task,,,,,,,
51c-7iGxPri,Commonsense Knowledge-Augmented Pretrained Language Models for Causal Reasoning Classification,['aclweb.org/ACL/ARR/2021/September/Paper167/Authors'],['Anonymous'],,"Commonsense knowledge can be leveraged for identifying causal relations in text. In this work, we convert triples in ATOMIC2020, a wide coverage commonsense reasoning knowledge graph, to natural language text and continually pretrain a BERT pretrained language model. We evaluate the resulting model on answering commonsense reasoning questions. Our results show that a continually pretrained language model augmented with commonsense reasoning knowledge outperforms our baseline on two commonsense causal reasoning benchmarks, COPA and BCOPA-CE, without additional improvement on the base model or using quality-enhanced data for fine-tuning.",/pdf/d9cfe05d04df815543f091c9bd3e060fbc67b1e2.pdf,/attachment/6ce6f89fda7391a7d5d6f9f5d3ca9f41b359a6a0.zip,,,anonymous|commonsense_knowledgeaugmented_pretrained_language_models_for_causal_reasoning_classification,,,,,,,
1y_41pnSIxC,Gender Roles from Word Embeddings in a Century of Children’s Books,['aclweb.org/ACL/ARR/2021/September/Paper25/Authors'],['Anonymous'],,"When presenting content to children, educators and parents not only want to know whether characters of different backgrounds are represented; they also want to understand how these characters are depicted. In this paper, we measure the gender portrayal of central domains of social life as depicted in highly influential children's books using word co-occurrence and word embeddings. We find that females are more likely than males to be associated with words related both to family and appearance, while males are more associated with business-related words. The gender associations with appearance and business have endured over time, whereas family word associations have become more gender-neutral. We make two main contributions: one, we create a word embeddings data set, StoryWords 1.0, of 100 years of award-winning children's literature, and two, we show inequality in the portrayal of gender in this literature, which in turn may convey messages to children about differential roles in society. We include our code and models as supplemental data associated with this manuscript.",/pdf/413359d416d97e1a1647a753e13e8b805c95c4e7.pdf,/attachment/8486e20663804f5410fd8231d4a6586cc8b6d3aa.zip,,,anonymous|gender_roles_from_word_embeddings_in_a_century_of_childrens_books,,,,,,,/attachment/fa539ae0ead2be46a42eaedb13ed17d457bd0019.zip
